web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,data-page-selector,data-page-selector-href,Article-headline-0,image-0-src,Product Category-0,Product Brand-0,Product Size-0,Product Description-0
"1758849957-11","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME T - Acnéique","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-t-soin-de-la-peau-acneique/?action=souscat&id_cat=3","PHARMACERIS T
                                Gel lavant antibactérien t pour le visage
                                                                Puri-sebogel 190 ml
                                                            
                                                        Voir plus","https://www.gssante.com/gel-lavant-antibacterien-t-pour-le-visage/?action=souscat&id_cat=3&id_cat1=16","Gel lavant antibactérien t pour le visage","https://www.gssante.com/MtdGssante/uploads/2020/06/gel-lavant-1.jpg","GAMME A - Peau Allergique et Sensible","","Puri-sebogel 190 ml","-97% nettoie en profondeur

-90% réduit la brillance

-Haute tolérance et efficacité

-Testé cliniquement et dermatologiquement
LES INDICATIONS

Gel antibactérien pour le nettoyage quotidien des peaux à tendance acnéique, sujettes aux points noirs et grasses.

La préparation convient aux peaux de tous âges.

Remplace le savon traditionnel.
ACTION

Le gel débloque les pores, élimine efficacement les impuretés et l’excès de sébum sans irriter ni sécher la peau.

Le produit a des propriétés antibactériennes assurant une bonne hygiène et l’équilibre de la flore bactérienne de la peau acnéique.

Le salicylate de sodium et l’acide mandélique exfolient en douceur les cellules épidermiques cornées et limitent la formation de nouvelles lésions d’acné.

Le gel à base d’ingrédients nettoyants extrêmement doux n’endommage pas la barrière protectrice naturelle de la peau.

Très tolérant, sans savon.

HAUTE TOLÉRANCE ET EFFICACITÉ

TESTÉ CLINIQUEMENT ET DERMATOLOGIQUEMENT

Capacité: 190 ml
MODE D’EMPLOI

Appliquer le gel sur une peau humide.

Lavez votre visage en massant dans un mouvement circulaire en évitant le contour des yeux, puis rincez à l’eau claire.

Utilisez le toner et la crème Pharmaceris T. Utilisez-le matin et soir."
"1758849960-12","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME T - Acnéique","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-t-soin-de-la-peau-acneique/?action=souscat&id_cat=3","PHARMACERIS T
                                Crème avec retinol pour l’acné adulte la nuit
                                                                PUR-Retinol 0,3 40 ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-avec-retinol-pour-lacne-adulte-la-nuit/?action=souscat&id_cat=3&id_cat1=16","Crème avec retinol pour l’acné adulte la nuit","https://www.gssante.com/MtdGssante/uploads/2020/06/creme-acne.jpg","GAMME A - Peau Allergique et Sensible","","PUR-Retinol 0,3 40 ml","-Réduction de 75% de la visibilité des rides

-60% réduit la tendance à créer des imperfections

-Haute tolérance et efficacité

-Testé dermatologiquement
LES INDICATIONS

Soin de nuit quotidien pour les adultes qui nécessitent un traitement anti-acné efficace ainsi qu’une action anti-rides.

Pour les personnes ayant tendance à développer des imperfections, de l’acné, des points noirs et une séborrhée excessive, pour les peaux grasses et mixtes.
ACTION

La crème à base d’une forte concentration de crème rétinol pure à 0,3% a un effet anti-acné et anti-rides équilibré, étant un traitement efficace qui rétablit le bon fonctionnement de la peau lors des changements hormonaux.

L’encapsulation du rétinol dans les supports céramiques microsphériques assure sa stabilité et le protège de l’oxydation, éliminant efficacement les changements hormonaux sévères de l’acné (papules, boutons, éruptions) et inhibant leur récurrence.

Le rétinol rétablit l’homéostasie, réduisant la production excessive de sébum et débloquant et rétrécissant les pores.

En même temps, il a un effet anti-rides très puissant.

Construit des fibres d’ancrage entre l’épiderme et le derme, réduisant la profondeur et réduisant le nombre et le volume des rides et des sillons.

L’effet d’une utilisation régulière de la crème est une bonne tension et un lissage visible de la texture de l’épiderme.

Pour équilibrer le confort cutané, la formule utilise des ingrédients émollients hydratants et nourrissants (extrait de lys, beurre de karité, cire d’olive, huile de coton) et du squalane biomimétique à 4%, ce qui renforce la barrière lipidique épidermique.
MODE D’EMPLOI

Utilisez la crème tous les jours la nuit sur le visage, le cou et le décolleté nettoyés, en évitant le contour des yeux et de la bouche.

Une rougeur transitoire et une desquamation de l’épiderme, qui est une réaction cutanée naturelle, peuvent survenir lors de l’utilisation du produit.

Pour la journée, il est nécessaire d’utiliser un écran solaire min. SPF 30.

La préparation ne doit pas être utilisée chez les femmes enceintes et les patients sous traitement par rétinoïdes par voie orale."
"1758849964-13","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME T - Acnéique","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-t-soin-de-la-peau-acneique/?action=souscat&id_cat=3","PHARMACERIS T
                                Spf 30 crème hydratante et apaisante pour le visage pendant et après les traitements anti acné
                                                                Sebo-moistatic 50 ml
                                                            
                                                        Voir plus","https://www.gssante.com/spf-30-creme-hydratante-et-apaisante-pour-le-visage-pendant-et-apres-les-traitements-anti/?action=souscat&id_cat=3&id_cat1=16","Spf 30 crème hydratante et apaisante pour le visage pendant et après les traitements anti acné","https://www.gssante.com/MtdGssante/uploads/2020/06/spf30.jpg","GAMME A - Peau Allergique et Sensible","","Sebo-moistatic 50 ml","-Haute tolérance et efficacité

-Testé dermatologiquement
LES INDICATIONS

La crème est recommandée pour les peaux acnéiques – sèches et irritées à la suite de traitements anti-acnéiques, y compris les traitements pharmacologiques nécessitant une haute protection contre les rayons UV.
ACTION

La crème hydrate intensément, rétablissant un équilibre hydrique durable sur la peau séchée grâce à de puissants traitements anti-acné.

Grâce à l’action globale des particules hydratantes hygroscopiques et de l’Hydructor, la crème pénètre dans les couches profondes de la peau, liant et retenant l’eau en permanence dans l’épiderme.

Il réduit la sensation de tension et d’inconfort.

Le complexe prébiotique et l’allantoïne contenus dans la crème apaisent et apaisent les irritations et stimulent la croissance de la microflore protectrice et physiologique de l’épiderme, réduisant la sensibilité de la peau aux facteurs externes.

Les composants antibactériens (écorce de saule et extrait de sauge) régulent le processus d’exfoliation de l’épiderme, empêchant la formation de nouvelles imperfections.

La crème contient un filtre SPF 30 qui minimise efficacement le risque d’irritation et de décoloration résultant de réactions photoallergiques ou phototoxiques.

La crème pénètre rapidement et n’obstrue pas les pores.

HAUTE TOLÉRANCE ET EFFICACITÉ

TESTÉ DERMATOLOGIQUEMENT

Capacité: 50 ml
MODE D’EMPLOI

Appliquer la crème sur la peau nettoyée avec les préparations Pharmaceris T en évitant le contour des yeux.

Appliquer tous les matins.

Parfait comme base de maquillage."
"1758849967-14","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME T - Acnéique","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-t-soin-de-la-peau-acneique/?action=souscat&id_cat=3","PHARMACERIS T
                                Mousse Nettoyante
                                                                PURI-SEBOSTATIQUE 150ml
                                                            
                                                        Voir plus","https://www.gssante.com/mousse-nettoyante-2/?action=souscat&id_cat=3&id_cat1=16","Mousse Nettoyante","https://www.gssante.com/MtdGssante/uploads/2021/05/mousse-T.jpg","GAMME A - Peau Allergique et Sensible","","PURI-SEBOSTATIQUE 150ml","65% réduit la sécrétion de sébum
46% prévient les comédons
haute tolérance et efficacité
testé dermatologiquement

LES INDICATIONS:

Mousse nettoyante pour le visage pour les soins quotidiens, convient aux peaux à tendance acnéique et aux peaux mixtes à tendance aux points noirs et à la sécrétion excessive de sébum.
Recommandé également pour les peaux déshydratées suite à un traitement anti-acnéique.
Le produit est recommandé pour la peau de tous âges.
Il remplace le savon traditionnel.

ACTION:

La mousse douce nettoie efficacement la peau des impuretés et du maquillage.
L’acide hydroxycitrique naturel contenu dans l’extrait de tamarin offre d’excellentes propriétés exfoliantes favorisant l’élimination des cellules mortes de la peau, et hydrate la peau pour restaurer son équilibre hydrique.
L’extrait de bardane et le zinc PCA réduisent les troubles de la peau grasse, normalisant la sécrétion de sébum.
Le produit est bien toléré.


HAUTE TOLÉRANCE ET EFFICACITÉ
TESTÉ DERMATOLOGIQUEMENT"
"1758849971-15","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME T - Acnéique","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-t-soin-de-la-peau-acneique/?action=souscat&id_cat=3","PHARMACERIS T
                                Stop Boutons Gel
                                                                Spot Gel  10ml
                                                            
                                                        Voir plus","https://www.gssante.com/spot-boutons-gel/?action=souscat&id_cat=3&id_cat1=16","Stop Boutons Gel","https://www.gssante.com/MtdGssante/uploads/2021/05/H2O2.jpg","GAMME A - Peau Allergique et Sensible","","Spot Gel  10ml","72% le nombre de pustules réduit
46% le nombre de papules réduit
haute tolérance et efficacité
testé dermatologiquement

LES INDICATIONS:

Le produit est destiné à une application locale directement sur les lésions acnéiques (nodules sous-cutanés, pustules, papules) pour délivrer un effet anti-acnéique immédiat.
Convient aux enfants à partir de 9 ans.

ACTION:

Le produit contient une formule concentrée à 2% de H 2 O 2 et de l’acide salicylique. Il démontre un effet moléculaire ciblé immédiat sur les lésions acnéiques.
Il stimule efficacement l’élimination des lésions d’acné existantes, en réduisant leur taille et en minimisant leur apparence.
Il empêche le développement de taches disgracieuses. Il a un effet apaisant et calmant, réduit les rougeurs et favorise la régénération cutanée."
"1758849974-16","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME T - Acnéique","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-t-soin-de-la-peau-acneique/?action=souscat&id_cat=3","PHARMACERIS T
                                Crème Protectrice SPF 50+
                                                                Medi-Acné Protect 50ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-protectrice-spf-50-2/?action=souscat&id_cat=3&id_cat1=16","Crème Protectrice SPF 50+","https://www.gssante.com/MtdGssante/uploads/2021/05/ecran-T.jpg","GAMME A - Peau Allergique et Sensible","","Medi-Acné Protect 50ml","normalise la sécrétion de sébum
antibactérien

LES INDICATIONS:

Une crème protectrice pour le visage recommandée pour les peaux à tendance acnéique, grasse et mixte avec tendance à briller et imperfections occasionnelles.
Conçu pour la peau qui nécessite un très haut niveau de protection contre la lumière du soleil intense et les rayons UVA / UVB nocifs.
Il peut également être utilisé lors de la récupération de traitements anti-acnéiques ou lors d’un traitement médicamenteux nécessitant le plus haut niveau de protection solaire.

ACTION:

La crème protège la peau en minimisant le risque d’effets indésirables associés à l’exposition au soleil, notamment l’irritation, les coups de soleil et les éruptions cutanées.
La formule aide à normaliser la sécrétion de sébum et à restaurer la fonction saine des glandes sébacées, procurant un effet matifiant immédiat et durable.
Octopirox a de fortes propriétés antibactériennes et soulage les symptômes de la dermatite séborrhéique.
La formule immuno-prébiotique contribue à la restauration d’un microbiome cutané sain.
La diminution des pores affine et désobstrue les pores de la peau.
La crème hydrate, nourrit et régénère la peau, tout en agissant contre la sécheresse et l’hypersensibilité."
"1758849981-17","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME S - Protection solaire","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-s-solaire/?action=souscat&id_cat=3","PHARMACERIS S
                                Huile de protection sèche spf 50+
                                                                Sun protect 200 ml
                                                            
                                                        Voir plus","https://www.gssante.com/huile-de-protection-seche-spf-50-pour-le-corps-pour-adultes-sur-peau-humide-et-seche/?action=souscat&id_cat=3&id_cat1=15","Huile de protection sèche spf 50+","https://www.gssante.com/MtdGssante/uploads/2020/06/huile-protection-solaire.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS S","Sun protect 200 ml","-96% hydrate

-93% élimine la rugosité

-Haute tolérance et efficacité

-Testé dermatologiquement
LES INDICATIONS

Recommandé pour les peaux délicates, sensibles et normales, nécessitant une très haute protection contre les rayonnements nocifs UVA / UVB.

Recommandé pour minimiser le risque de coup de soleil et de décoloration lors d’une exposition cutanée au soleil.

La formule est recommandée pour les personnes actives. Il laisse une finition sèche sur la peau, sans sensation collante.

Formule DUOactive pour une utilisation sur peau sèche et humide.
ACTION

Une protection solaire efficace sous forme d’huile nourrissante est une solution alternative aux formes traditionnelles de crème.

Fournit une application pratique, laissant un fini soigné et satiné sans effet collant.

L’huile contient des filtres UVA et UVB photostables, qui ont la capacité d’absorber la lumière du soleil.

Il offre le plus haut degré de protection contre la forte lumière du soleil et les facteurs externes nocifs.

La vitamine E contenue dans l’huile, à fort effet antioxydant, renforce la barrière lipidique de la peau, nourrit et régénère l’épiderme.

L’huile hydrate intensément la peau, prévenant le dessèchement.

Restaure la douceur et la douceur.
HAUTE TOLÉRANCE ET EFFICACITÉ

TESTÉ DERMATOLOGIQUEMENT

Capacité: 200 ml
MODE D’EMPLOI

Appliquer la préparation sur la peau 15 minutes avant l’exposition au soleil.

Répéter l’application toutes les 2 heures et à chaque fois après le bain, la natation, l’effort physique et après chaque utilisation d’une serviette.

Degré de protection contre les UV – 98%."
"1758849985-18","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME S - Protection solaire","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-s-solaire/?action=souscat&id_cat=3","PHARMACERIS S
                                Baume protecteur hydrolipide spf 50+
                                                                Sun body protect 150 ml
                                                            
                                                        Voir plus","https://www.gssante.com/baume-protecteur-hydrolipide-spf-50-pour-le-corps/?action=souscat&id_cat=3&id_cat1=15","Baume protecteur hydrolipide spf 50+","https://www.gssante.com/MtdGssante/uploads/2020/06/spf50.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS S","Sun body protect 150 ml","-97% régénère et reconstruit l’épiderme

-93% rend la peau plus lisse

-Haute tolérance et efficacité

-Testé dermatologiquement
LES INDICATIONS

Recommandé pour les peaux délicates, sensibles et à problèmes – nécessitant une très haute protection contre les rayons solaires intenses, les coups de soleil et les rayons UVA / UVB nocifs.

L’utilisation de préparations protectrices est également recommandée par les spécialistes pour les traitements dermatologiques et après les traitements de médecine esthétique pour protéger la peau contre la décoloration.
ACTION

La préparation utilise un système spécial de filtres UVA et UVB photostables, avec un double mécanisme d’action anti-UV (réflexion et absorption de la lumière solaire) pour fournir une protection efficace et très élevée contre la lumière solaire intense et ses effets néfastes.

La crème offre une protection anti-UV de plus de 98% et minimise le risque de changements de pigmentation et de décoloration.

La préparation complète les carences lipidiques.

Hydrate et nourrit la peau en profondeur, créant une couverture protégeant l’épiderme contre un dessèchement excessif.

La vitamine E accélère le renouvellement épidermique et protège contre le photo-vieillissement.

L’allantoïne apaise et apaise les irritations causées par l’exposition de la peau au soleil.

Préparation imperméable – adaptée aux besoins des personnes actives.

Il absorbe rapidement et ne laisse pas de couche grasse sur la peau.
HAUTE TOLÉRANCE ET EFFICACITÉ

TESTÉ DERMATOLOGIQUEMENT

Capacité: 150 ml
MODE D’EMPLOI

Appliquer une couche appropriée de crème 20-30 minutes avant l’exposition au soleil.

Répéter l’application toutes les 2 heures et à chaque fois après le bain ou la baignade."
"1758849988-19","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME S - Protection solaire","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-s-solaire/?action=souscat&id_cat=3","PHARMACERIS S
                                Crème protectrice spf 50+ pour l’acné
                                                                Medi acne protect 50 ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-protectrice-spf-50-pour-lacne-les-peaux-mixtes-et-grasses/?action=souscat&id_cat=3&id_cat1=15","Crème protectrice spf 50+ pour l’acné","https://www.gssante.com/MtdGssante/uploads/2020/06/creme-protectrice-1.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS S","Medi acne protect 50 ml","-92% peau hydratée

-Effet mat jusqu’à 10 heures

-Très haute protection contre les rayonnements UVA / UVB

-Normalisation des glandes sébacées

-Effet antibactérien
LES INDICATIONS

Pour une utilisation avec des personnes ayant la peau:

acné,

huileux et mélangé,

sujettes à la brillance et aux imperfections,

nécessitant une haute protection contre les rayons solaires intenses, les rayonnements UVA / UVB nocifs,

après un traitement contre l’acné ou pendant des traitements pharmacologiques nécessitant la plus haute protection solaire.
ACTION

Une crème protectrice spécialisée protège la peau en minimisant le risque de symptômes indésirables après une exposition au soleil: irritations, brûlures et coups de soleil.

La formule affecte la normalisation de la sécrétion de sébum et la restauration du bon fonctionnement des glandes sébacées assurant un effet mat immédiat et durable.

Octopirox a un fort effet antibactérien et soulage les symptômes de la dermatite séborrhéique.

La formule immuno-prébiotique influence le renouvellement du microbiote cutané normal. Les pores diminuent et rétrécissent les pores.

La crème hydrate, nourrit et régénère la peau, prévient et réduit la sécheresse et l’hypersensibilité.
MODE D’EMPLOI

Pour une utilisation quotidienne sur la peau au soleil, pour une protection solaire maximale.

Appliquer une couche appropriée de crème pour le visage 20-30 minutes avant l’exposition au soleil.

Répéter l’application toutes les 2 heures et à chaque fois après le bain ou la baignade."
"1758849991-20","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME S - Protection solaire","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-s-solaire/?action=souscat&id_cat=3","PHARMACERIS S
                                Crème protectrice sécurisée spf 50+ pour les enfants
                                                                Filtres 100% minéraux 50 ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-protectrice-securisee-spf-50-pour-les-enfants-des-la-naissance/?action=souscat&id_cat=3&id_cat1=15","Crème protectrice sécurisée spf 50+ pour les enfants","https://www.gssante.com/MtdGssante/uploads/2020/06/creme-protectrice-enfant.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS S","Filtres 100% minéraux 50 ml","-Protège la peau contre les UVA et UVB

-Protège la peau du froid et du vent

-Testé cliniquement et dermatologiquement
LES INDICATIONS

Recommandé pour la protection quotidienne des peaux particulièrement délicates des enfants et des nourrissons dès 1 jour de vie contre les rayons solaires intenses et les facteurs externes (froid, vent).

Également recommandé pour les personnes atopiques, hypersensibles et sensibles aux allergies aux rayons du soleil et aux filtres chimiques.

Soin quotidien de la peau sensible du visage des enfants et des bébés dès la naissance.
ACTION

La crème est à base de filtres 100% minéraux, elle réfléchit et disperse les rayons du soleil, offrant une très haute protection cutanée contre les rayons intenses du soleil et ses effets néfastes.

Il crée un écran minéral à la surface de la peau, réduisant le risque de rayonnement nocif UVA et UVB pénétrant profondément dans la peau.

Minimise les dommages et les coups de soleil. La crème neutralise largement les radicaux libres responsables des réactions photosensibilisantes et inhibe la tendance aux allergies, irritations, démangeaisons et taches solaires.

L’effet naturel de l’utilisation de filtres minéraux est de laisser une fine couche de protection blanche sur la peau.

Les particules hygroscopiques favorisent la régénération de l’épiderme, éliminent les signes de tiraillement et de tension de la peau et la protègent du dessèchement.
HAUTE TOLÉRANCE ET EFFICACITÉ

TESTÉ DERMATOLOGIQUEMENT

LE PRODUIT A L’AVIS POSITIF DE L’INSTITUT DE LA MÈRE ET DE L’ENFANT N ° ZF-K-2/12

Capacité: 50 ml
MODE D’EMPLOI

Étalez une petite quantité de crème sur votre visage.

Recommandé pour une utilisation quotidienne.

L’application est particulièrement recommandée avant que la peau ne soit exposée à des facteurs externes nocifs."
"1758849994-21","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME S - Protection solaire","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-s-solaire/?action=souscat&id_cat=3","PHARMACERIS S
                                Crème solaire protectrice spf 50+ visage et corps
                                                                Pour bébés et enfants 125 ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-solaire-protectrice-spf-50-visage-et-corps/?action=souscat&id_cat=3&id_cat1=15","Crème solaire protectrice spf 50+ visage et corps","https://www.gssante.com/MtdGssante/uploads/2020/06/creme-solaire.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS S","Pour bébés et enfants 125 ml","-Hydrate

-Lisse

-Possède une opinion positive de l’Institut de la mère et de l’enfant n ° ZF-K-26/11

-Haute tolérance et efficacité
LES INDICATIONS

Très haute protection contre le soleil intense, les coups de soleil et les rayons UVA et UVB de la peau délicate et sensible du visage et du corps des enfants et des bébés de plus de 6 mois.
ACTION

La crème spécialisée a été développée pour protéger efficacement la peau sensible des bébés et des enfants exposés aux effets négatifs du soleil et des facteurs externes.

La préparation utilise un système spécial de filtres UVA et UVB photostables, avec un double mécanisme anti-UV (réflexion et absorption de la lumière solaire) pour fournir une très haute protection contre la lumière solaire intense et ses effets néfastes.

La formule de la crème enrichie en huile de fleur de passion apaise les irritations et réduit l’impact négatif des facteurs externes.

La recette de la crème est complétée par de l’acide folique, qui protège en outre les cellules de la peau contre les dommages causés par les rayons UV.

L’extrait d’huile des algues « dorées » assure une hydratation adéquate de la peau, prévenant le dessèchement et la perte excessive d’eau de l’épiderme.

Formule imperméable et à absorption rapide. Ne laisse pas de couche grasse et collante.
HAUTE TOLÉRANCE ET EFFICACITÉ

TESTÉ DERMATOLOGIQUEMENT

LE PRODUIT A L’AVIS POSITIF DE L’INSTITUT DE LA MÈRE ET DE L’ENFANT N ° ZF-K-2/12

Capacité: 125 ml
MODE D’EMPLOI

Appliquer une couche de crème pour le visage 20-30 minutes avant l’exposition au soleil.

Répéter l’application toutes les 2 heures et à chaque fois après le bain ou la baignade."
"1758849997-22","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME S - Protection solaire","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-s-solaire/?action=souscat&id_cat=3","PHARMACERIS S
                                Spectrum Protect  spf50+
                                                                SUN PROTECTION CREAM 50ml
                                                            
                                                        Voir plus","https://www.gssante.com/spectrum-protect-50/?action=souscat&id_cat=3&id_cat1=15","Spectrum Protect  spf50+","https://www.gssante.com/MtdGssante/uploads/2021/04/spectrum.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS S","SUN PROTECTION CREAM 50ml","-Couvre tout le spectre protège l’ADN et PPD 30
-97% régénère et reconstruit l’épiderme

-93% rend la peau plus lisse

-Haute tolérance et efficacité

-Testé dermatologiquement
LES INDICATIONS

Recommandé pour les peaux délicates, sensibles et à problèmes – nécessitant une très haute protection contre les rayons solaires intenses, les coups de soleil et les rayons UVA / UVB nocifs.

L’utilisation de préparations protectrices est également recommandée par les spécialistes pour les traitements dermatologiques et après les traitements de médecine esthétique pour protéger la peau contre la décoloration.
ACTION

La préparation utilise un système spécial de filtres UVA et UVB photostables, avec un double mécanisme d’action anti-UV (réflexion et absorption de la lumière solaire) pour fournir une protection efficace et très élevée contre la lumière solaire intense et ses effets néfastes.

La crème offre une protection anti-UV de plus de 98% et minimise le risque de changements de pigmentation et de décoloration.

La préparation complète les carences lipidiques.

Hydrate et nourrit la peau en profondeur, créant une couverture protégeant l’épiderme contre un dessèchement excessif.

La vitamine E accélère le renouvellement épidermique et protège contre le photo-vieillissement.

L’allantoïne apaise et apaise les irritations causées par l’exposition de la peau au soleil.

Préparation imperméable – adaptée aux besoins des personnes actives.

Il absorbe rapidement et ne laisse pas de couche grasse sur la peau.
HAUTE TOLÉRANCE ET EFFICACITÉ

TESTÉ DERMATOLOGIQUEMENT"
"1758850000-23","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME S - Protection solaire","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-s-solaire/?action=souscat&id_cat=3","Fluide protecteur-correctif haute protection spf 50+
                                                                Correction solaire
 02 Sable 30 ml
                                                            
                                                        Voir plus","https://www.gssante.com/fluide-protecteur-correctif-haute-protection-spf-50-2/?action=souscat&id_cat=3&id_cat1=15","Fluide protecteur-correctif haute protection spf 50+","https://www.gssante.com/MtdGssante/uploads/2020/06/02modif.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS S","Correction solaire
 02 Sable 30 ml","-100% couvre les imperfections

-Protection UV à 98%

-Haute tolérance et efficacité
LES INDICATIONS

Fluide recommandé pour tous les types de peau, y compris hypersensible et irritée en raison de facteurs externes (photoallergies) et de facteurs mécaniques: après les traitements de médecine esthétique, les lasers et les peelings.

Recommandé pour les personnes ayant une tendance à la décoloration de la peau et vulnérables à leur formation (par exemple lors de la prise de médicaments, des changements inflammatoires, de la grossesse) et des personnes aux prises avec le problème de l’albinisme.
ACTION

Le fluide spécialisé offre la meilleure protection contre le rayonnement solaire et une protection efficace contre la formation et l’intensification de la décoloration.

Grâce à des pigments micronisés, il masque parfaitement les défauts de la peau en offrant une couverture durable, donnant à la peau une structure uniforme et une couleur saine.

La formule innovante Leukine Barrier TM , avec un effet immunostimulant, apporte l’effet d’apaiser et de soulager l’irritation résultant de facteurs externes et mécaniques.

L’extrait de lin apaisant restaure l’équilibre physiologique perturbé de la peau, renforce sa barrière lipidique et affecte une régénération plus rapide.

Le fluide n’alourdit pas la peau, n’obstrue pas les pores et ne provoque pas de points noirs. Le produit avec un haut degré de tolérance, ne dessèche pas la peau.

HAUTE TOLÉRANCE ET EFFICACITÉ

FRAGRANCE

Capacité: 30 ml
MODE D’EMPLOI

Étalez le produit uniformément sur le visage.

Laisser absorber.

Postulez pour une journée."
"1758850004-24","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME S - Protection solaire","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-s-solaire/?action=souscat&id_cat=3","Fluide protecteur-correctif haute protection spf 50+
                                                                Correction solaire
 01 Sable 30 ml
                                                            
                                                        Voir plus","https://www.gssante.com/fluide-protecteur-correctif-haute-protection-spf-50-3/?action=souscat&id_cat=3&id_cat1=15","Fluide protecteur-correctif haute protection spf 50+","https://www.gssante.com/MtdGssante/uploads/2020/06/01modif.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS S","Correction solaire
 01 Sable 30 ml","-100% couvre les imperfections

-Protection UV à 98%

-Haute tolérance et efficacité
LES INDICATIONS

Fluide recommandé pour tous les types de peau, y compris hypersensible et irritée en raison de facteurs externes (photoallergies) et de facteurs mécaniques: après les traitements de médecine esthétique, les lasers et les peelings.

Recommandé pour les personnes ayant une tendance à la décoloration de la peau et vulnérables à leur formation (par exemple lors de la prise de médicaments, des changements inflammatoires, de la grossesse) et des personnes aux prises avec le problème de l’albinisme.
ACTION

Le fluide spécialisé offre la meilleure protection contre le rayonnement solaire et une protection efficace contre la formation et l’intensification de la décoloration.

Grâce à des pigments micronisés, il masque parfaitement les défauts de la peau en offrant une couverture durable, donnant à la peau une structure uniforme et une couleur saine.

La formule innovante Leukine Barrier TM , avec un effet immunostimulant, apporte l’effet d’apaiser et de soulager l’irritation résultant de facteurs externes et mécaniques.

L’extrait de lin apaisant restaure l’équilibre physiologique perturbé de la peau, renforce sa barrière lipidique et affecte une régénération plus rapide.

Le fluide n’alourdit pas la peau, n’obstrue pas les pores et ne provoque pas de points noirs. Le produit avec un haut degré de tolérance, ne dessèche pas la peau.

HAUTE TOLÉRANCE ET EFFICACITÉ

FRAGRANCE

Capacité: 30 ml
MODE D’EMPLOI

Étalez le produit uniformément sur le visage.

Laisser absorber.

Postulez pour une journée."
